TimeStamp_SmartWatch_Acc,TimeStamp_SmartWatch_Gyro,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Total Entry Count,640
180251383,180251403,-0.158,-0.496,9.762,-0.003,-0.003,0.000,,,180251499,180251519
180251402,180251423,-0.149,-0.544,9.815,0.002,-0.001,0.002,,,180251518,180251539
180251421,180251441,-0.192,-0.501,9.819,0.002,-0.000,-0.001,,,180251537,180251557
180251441,180251460,-0.182,-0.453,9.752,0.004,-0.001,-0.001,,,180251557,180251576
180251460,180251480,-0.192,-0.516,9.676,0.002,-0.003,0.000,,,180251576,180251596
180251480,180251499,-0.192,-0.463,9.680,-0.001,-0.003,-0.001,,,180251596,180251615
180251499,180251518,-0.225,-0.520,9.805,-0.001,-0.000,0.000,,,180251615,180251634
180251518,180251538,-0.244,-0.496,9.810,-0.001,-0.000,0.000,,,180251634,180251654
180251537,180251556,-0.177,-0.444,9.815,-0.000,-0.000,-0.001,,,180251653,180251672
180251556,180251576,-0.139,-0.472,9.786,0.001,-0.000,-0.001,,,180251672,180251692
180251575,180251595,-0.187,-0.535,9.867,-0.009,0.001,-0.002,,,180251691,180251711
180251594,180251614,-0.172,-0.511,9.815,-0.001,-0.003,0.000,,,180251710,180251730
180251614,180251633,-0.129,-0.501,9.815,-0.003,-0.001,0.000,,,180251730,180251749
180251633,180251653,-0.120,-0.506,9.834,0.007,-0.001,0.000,,,180251749,180251769
180251652,180251672,-0.196,-0.429,9.771,-0.003,-0.000,0.000,,,180251768,180251788
180251672,180251692,-0.206,-0.463,9.815,-0.003,-0.000,0.000,,,180251788,180251808
180251690,180251710,-0.172,-0.511,9.800,-0.001,-0.000,0.000,,,180251806,180251826
180251710,180251729,-0.216,-0.540,9.795,-0.001,-0.000,0.000,,,180251826,180251845
180251729,180251749,-0.177,-0.468,9.848,-0.001,-0.001,0.002,,,180251845,180251865
180251748,180251768,-0.206,-0.472,9.776,0.004,-0.001,0.000,,,180251864,180251884
180251768,180251787,-0.235,-0.501,9.843,-0.000,-0.000,-0.001,,,180251884,180251903
180251787,180251806,-0.211,-0.463,9.743,0.002,0.001,-0.001,,,180251903,180251922
180251806,180251826,-0.201,-0.506,9.757,0.002,0.001,0.000,,,180251922,180251942
180251825,180251845,-0.187,-0.468,9.795,-0.001,0.001,0.000,,,180251941,180251961
180251845,180251864,-0.149,-0.482,9.776,0.006,0.001,-0.001,,,180251961,180251980
180251864,180251884,-0.168,-0.458,9.743,-0.003,0.002,-0.001,,,180251980,180252000
180251883,180251903,-0.235,-0.482,9.877,-0.005,0.001,0.000,,,180251999,180252019
180251903,180251922,-0.220,-0.468,9.728,-0.004,0.001,0.002,,,180252019,180252038
180251921,180251941,-0.220,-0.492,9.920,-0.003,-0.000,0.000,,,180252037,180252057
180251941,180251960,-0.134,-0.482,9.652,0.001,0.001,0.000,,,180252057,180252076
180251960,180251980,-0.206,-0.530,9.795,-0.000,-0.000,0.000,,,180252076,180252096
180251979,180251999,-0.163,-0.501,9.738,0.002,-0.000,-0.001,,,180252095,180252115
180251998,180252018,-0.172,-0.482,9.781,-0.001,0.001,-0.002,,,180252114,180252134
180252017,180252037,-0.192,-0.516,9.738,-0.001,-0.001,0.000,,,180252133,180252153
180252037,180252057,-0.230,-0.501,9.800,0.002,0.001,0.002,,,180252153,180252173
180252056,180252075,-0.240,-0.463,9.839,0.005,-0.000,0.000,,,180252172,180252191
180252075,180252095,-0.192,-0.434,9.781,0.002,-0.003,0.000,,,180252191,180252211
180252094,180252114,-0.206,-0.477,9.839,0.010,-0.003,0.000,,,180252210,180252230
180252114,180252133,-0.163,-0.468,9.795,0.007,-0.001,-0.002,,,180252230,180252249
180252133,180252152,-0.172,-0.516,9.843,0.004,-0.001,0.000,,,180252249,180252268
180252152,180252172,-0.211,-0.535,9.853,0.004,-0.000,0.002,,,180252268,180252288
180252171,180252191,-0.211,-0.496,9.815,0.002,0.001,0.000,,,180252287,180252307
180252191,180252210,-0.192,-0.434,9.815,0.005,0.001,0.000,,,180252307,180252326
180252210,180252230,-0.206,-0.477,9.757,0.002,-0.000,0.000,,,180252326,180252346
180252229,180252249,-0.201,-0.516,9.819,-0.000,-0.001,-0.001,,,180252345,180252365
180252248,180252267,-0.192,-0.511,9.724,-0.000,-0.000,-0.001,,,180252364,180252383
180252267,180252287,-0.273,-0.520,9.867,0.002,0.001,0.000,,,180252383,180252403
180252287,180252306,-0.196,-0.511,9.771,-0.001,-0.000,-0.001,,,180252403,180252422
180252306,180252326,-0.230,-0.472,9.795,0.002,-0.000,0.000,,,180252422,180252442
180252325,180252345,-0.216,-0.506,9.786,0.004,-0.000,-0.001,,,180252441,180252461
180252345,180252363,-0.192,-0.468,9.805,0.001,-0.001,0.000,,,180252461,180252479
180252364,180252383,-0.187,-0.511,9.762,-0.000,-0.000,0.000,,,180252480,180252499
180252382,180252402,-0.196,-0.511,9.771,0.001,0.002,-0.001,,,180252498,180252518
180252402,180252422,-0.220,-0.530,9.805,0.002,-0.000,0.000,,,180252518,180252538
180252421,180252441,-0.172,-0.420,9.786,0.001,-0.001,0.000,,,180252537,180252557
180252441,180252460,-0.187,-0.530,9.767,-0.004,0.001,0.000,,,180252557,180252576
180252460,180252479,-0.244,-0.563,9.800,-0.006,-0.000,0.000,,,180252576,180252595
180252479,180252499,-0.287,-0.463,9.819,-0.006,-0.000,0.000,,,180252595,180252615
180252498,180252518,-0.172,-0.463,9.810,-0.000,-0.000,0.000,,,180252614,180252634
180252517,180252537,-0.206,-0.530,9.829,-0.000,-0.000,0.000,,,180252633,180252653
180252537,180252556,-0.206,-0.554,9.834,-0.001,-0.000,-0.001,,,180252653,180252672
180252556,180252575,-0.211,-0.563,9.815,-0.003,0.001,0.000,,,180252672,180252691
180252575,180252595,-0.206,-0.496,9.810,0.004,-0.001,0.000,,,180252691,180252711
180252594,180252614,-0.168,-0.496,9.839,0.002,0.001,0.000,,,180252710,180252730
180252614,180252633,-0.182,-0.482,9.795,0.001,0.001,-0.001,,,180252730,180252749
180252633,180252652,-0.158,-0.458,9.776,-0.001,0.001,0.000,,,180252749,180252768
180252651,180252671,-0.196,-0.501,9.762,-0.000,0.001,0.000,,,180252767,180252787
180252671,180252691,-0.254,-0.501,9.872,-0.004,0.002,0.000,,,180252787,180252807
180252690,180252710,-0.153,-0.506,9.767,0.002,0.002,0.000,,,180252806,180252826
180252709,180252729,-0.201,-0.496,9.934,0.001,0.002,0.000,,,180252825,180252845
180252729,180252748,-0.268,-0.449,9.815,-0.000,0.001,0.000,,,180252845,180252864
180252748,180252768,-0.263,-0.477,9.810,-0.001,0.001,0.000,,,180252864,180252884
